"Identifiant";"Nom de famille";"Courriels";"Téléphone";"Lieu";"Actif";
"a.cailot";"Cailot";"";"";"";"Oui";
"a.fournier";"Fournier";"";"";"";"Oui";
"a.turcotte";"Turcotte";"";"";"";"Oui";
"b.aupry";"Aupry";"";"";"";"Oui";
"b.banon";"Banon";"";"";"";"Oui";
"b.schneider";"Schneider";"";"";"";"Oui";
"c.caron";"Caron";"";"";"";"Oui";
"c.desaulniers";"Desaulniers";"";"";"";"Oui";
"c.seguin";"Séguin";"";"";"";"Oui";
"d.descoteaux";"Descoteaux";"";"";"";"Oui";
"d.fluet";"Fluet";"";"";"";"Oui";
"d.ramos";"Ramos";"";"";"";"Oui";
"e.dupy";"Dupy";"";"";"";"Oui";
"e.navarro";"Navarro";"";"";"";"Oui";
"f.gaulin";"Gaulin";"";"";"";"Oui";
"f.lang";"Lang";"";"";"";"Oui";
"f.paquette";"Paquette";"";"";"";"Oui";
"g.favreau";"Favreau";"";"";"";"Oui";
"g.langelier";"Langelier";"";"";"";"Oui";
"glpi-system";"Support";"";"";"";"Oui";
"h.gamelin";"Gamelin";"";"";"";"Oui";
"i.herve";"Hervé";"";"";"";"Oui";
"j.baron";"Baron";"";"";"";"Oui";
"j.champagne";"Champagne";"";"";"";"Oui";
"j.daigneault";"Daigneault";"";"";"";"Oui";
"l.laurent";"Laurent";"";"";"";"Oui";
"m.allard";"Allard";"";"";"";"Oui";
"m.anoux";"Anoux";"";"";"";"Oui";
"m.bene";"Bene";"";"";"";"Oui";
"m.lazure";"Lazure";"";"";"";"Oui";
"m.monjeau";"Monjeau";"";"";"";"Oui";
"n.roux";"Roux";"";"";"";"Oui";
"o.couturier";"Couturier";"";"";"";"Oui";
"p.marcoux";"Marcoux";"";"";"";"Oui";
"p.poirierdebuisson";"Poirier de Buisson";"";"";"";"Oui";
"r.ruiz";"Ruiz";"";"";"";"Oui";
"v.arcouet";"Arcouet";"";"";"";"Oui";
"v.gougeon";"Gougeon";"";"";"";"Oui";
"v.jacob";"Jacob";"";"";"";"Oui";
